"module name","license","repository"
"@inrupt/oidc-dpop-client-browser@0.2.0","MIT",""
"@inrupt/solid-client-authn-browser@0.2.0","MIT","https://github.com/inrupt/solid-client-authn"
"@inrupt/solid-client-authn-core@0.2.0","MIT","https://github.com/inrupt/solid-client-authn"
"@panva/asn1.js@1.0.0","MIT","https://github.com/panva/asn1.js"
"@types/form-urlencoded@2.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jjv@1.0.29","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jsonwebtoken@8.5.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash.clonedeep@4.5.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.161","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node-jose@1.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@14.11.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/url-parse@1.4.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/uuid@8.3.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abstract-leveldown@0.12.4","MIT","https://github.com/rvagg/node-abstract-leveldown"
"asn1.js@5.4.1","MIT","https://github.com/indutny/asn1.js"
"base64-js@1.3.1","MIT","https://github.com/beatgammit/base64-js"
"base64url@3.0.1","MIT","https://github.com/brianloveswords/base64url"
"bl@0.8.2","MIT","https://github.com/rvagg/bl"
"bn.js@4.11.9","MIT","https://github.com/indutny/bn.js"
"bn.js@5.1.3","MIT","https://github.com/indutny/bn.js"
"brorand@1.1.0","MIT","https://github.com/indutny/brorand"
"browserify-aes@1.2.0","MIT","https://github.com/crypto-browserify/browserify-aes"
"browserify-cipher@1.0.1","MIT","https://github.com/crypto-browserify/browserify-cipher"
"browserify-des@1.0.2","MIT","https://github.com/crypto-browserify/browserify-des"
"browserify-fs@1.0.0","MIT*","https://github.com/mafintosh/browserify-fs"
"browserify-rsa@4.0.1","MIT","https://github.com/crypto-browserify/browserify-rsa"
"browserify-sign@4.2.1","ISC","https://github.com/crypto-browserify/browserify-sign"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"buffer-es6@4.9.3","MIT","https://github.com/calvinmetcalf/buffer-es6"
"buffer-from@1.1.1","MIT","https://github.com/LinusU/buffer-from"
"buffer-xor@1.0.3","MIT","https://github.com/crypto-browserify/buffer-xor"
"buffer@5.6.0","MIT","https://github.com/feross/buffer"
"build-module@1.0.7","ISC","https://github.com/bnwan/buildModule"
"cipher-base@1.0.4","MIT","https://github.com/crypto-browserify/cipher-base"
"clone@0.1.19","MIT","https://github.com/pvorb/node-clone"
"concat-stream@1.6.2","MIT","https://github.com/maxogden/concat-stream"
